Spur	Frequency (Hz)	Power(dBc)

0	50.00051	-81.0
1	75.88541	-94.6
2	149.9788	-95.6
3	210.1920	-84.6
4	295.3013	-104.9
5	420.4858	-87.3
6	630.6279	-92.8
7	840.9634	-109.2
8	1050.653	-99.5
9	1261.922	-96.7
10	1471.340	-99.0
11	1892.065	-106.2
12	2101.906	-101.5
13	2312.792	-102.3
14	2522.180	-108.7
15	2942.712	-104.9
16	3153.966	-104.7
17	3363.411	-109.3
18	3784.149	-107.8
19	3993.944	-106.5
20	4204.832	-109.9
21	4625.498	-110.3
22	4834.784	-108.2
23	5045.999	-110.4
24	5676.196	-109.8
25	5886.023	-111.1
26	6517.574	-111.3
27	6726.831	-111.9
28	7358.222	-111.6
29	7568.286	-112.6
30	8409.647	-113.4

